"Index" "mc.m" "mt.m" "oc.m" "ot.m"
2017-06-13 02:00:00 6.67481232491927 NA NA 10.7279299977191
2017-06-13 03:00:00 6.96185727855957 NA NA 9.49208262876807
2017-06-13 04:00:00 6.79508528621409 NA NA 15.3516099354722
2017-06-13 05:00:00 6.74147788575981 NA NA 13.7481454813807
2017-06-13 06:00:00 8.30411130832843 NA NA 13.1535611820752
2017-06-13 07:00:00 9.8384002353939 NA NA 14.2738409390434
2017-06-13 08:00:00 10.0458999897007 NA NA 11.0289994768476
2017-06-13 09:00:00 11.9157125400064 NA NA 15.2709342669552
2017-06-13 10:00:00 13.8347848898738 NA NA NA
2017-06-13 11:00:00 15.3520097339893 NA NA NA
2017-06-13 12:00:00 20.9569884278729 NA NA NA
2017-06-13 13:00:00 25.2023345041042 NA NA NA
2017-06-13 14:00:00 19.4153015208794 NA NA NA
2017-06-13 15:00:00 11.1771119311145 NA NA NA
2017-06-13 16:00:00 11.8763007133516 NA NA 8.62635915047187
2017-06-13 17:00:00 15.1358667124522 NA NA 11.367887435466
2017-06-13 18:00:00 12.2684118610248 NA NA 7.77907986567961
2017-06-13 19:00:00 8.24369849724957 10.0641708163565 NA 8.24069487131148
2017-06-13 20:00:00 6.15773837619781 8.66896442519542 NA 9.08356639275204
2017-06-13 21:00:00 7.04790348060276 8.28162818996042 5.77958620354336 7.59527247283064
2017-06-13 22:00:00 5.45843658880007 7.52778383659437 6.36627531608846 9.72558636663181
2017-06-13 23:00:00 6.34139394184401 5.38679856372659 5.88902888030265 8.55461365049502
2017-06-14 00:00:00 6.22992569834861 6.66453567462405 6.05096410751994 8.77113662486063
2017-06-14 01:00:00 8.37335816148596 7.02351347215328 5.30681713116671 14.4426528369315
2017-06-14 02:00:00 6.83873842792493 7.00694412038135 7.14685488820523 14.7822312319664
2017-06-14 03:00:00 5.9380849250733 7.52135849375954 6.06240123400505 7.79660145151412
2017-06-14 04:00:00 7.57631911809481 8.54606927829874 6.30873581842486 10.3140257060515
2017-06-14 05:00:00 7.1369848188341 6.53312868074485 5.59252273412407 12.5279947496926
2017-06-14 06:00:00 6.76571589492896 6.85722789176798 4.90889209568084 22.3566587342018
2017-06-14 07:00:00 6.23914518808894 6.9887337947667 6.1552292612887 12.920948913677
2017-06-14 08:00:00 6.85907986643445 8.61772764422657 6.16182780332483 12.5645948174662
2017-06-14 09:00:00 8.11766695769982 9.69780835779943 7.5515859316052 12.9250992061957
2017-06-14 10:00:00 12.9934404643147 11.7425371937093 8.11402623039505 15.5027727919122
2017-06-14 11:00:00 12.8597824662719 17.907991547002 6.1236736167457 12.3862072727185
2017-06-14 12:00:00 13.5799399010034 18.6033134416775 9.09844140145373 15.4204727713878
2017-06-14 13:00:00 21.1760030224283 18.0748533624275 8.69422603596643 12.2334453903366
2017-06-14 14:00:00 19.04740990804 21.0073482313013 9.87570282656092 11.1847620364332
2017-06-14 15:00:00 21.2166779363749 20.5012550868049 7.67924682235623 8.79548410253432
2017-06-14 16:00:00 18.6050409023094 21.1260560052744 8.32266153068707 8.42798832165254
2017-06-14 17:00:00 20.7080228362616 22.2337484758769 6.88901268623354 9.46939042745426
2017-06-14 18:00:00 NA 17.6946200337231 6.44944461456271 9.34124015390985
2017-06-14 19:00:00 NA 14.6071250631387 7.04519669062233 8.12347528061164
2017-06-14 20:00:00 8.09920920783597 9.02473365101062 6.19158575082817 7.5317883560368
2017-06-14 21:00:00 7.03750654151428 7.58602857235079 5.82696755769081 8.55043842895936
2017-06-14 22:00:00 7.05874206560033 7.8856436910829 6.01393315798026 7.01379847814731
2017-06-14 23:00:00 11.8257365783715 7.9742769193247 6.32723662025623 8.76783489993693
2017-06-15 00:00:00 7.91849401023511 8.58231052378404 6.22912485132542 10.1322924537431
2017-06-15 01:00:00 12.1390756890686 7.13159168734942 7.0451621398562 8.47494950563957
2017-06-15 02:00:00 6.63491612131549 6.62551794530866 5.56593020002865 7.08035639091096
2017-06-15 03:00:00 7.41294925873181 8.71577803064461 8.03114742726195 8.03590054592974
2017-06-15 04:00:00 6.20344061718736 9.06122914348695 6.28099042117377 12.1165001505283
2017-06-15 05:00:00 5.69214182077529 9.79702397892888 5.07005428465716 11.8140448430797
2017-06-15 06:00:00 6.381436827181 6.92108375823248 6.56435765003658 14.2267806446584
2017-06-15 07:00:00 9.92595184095303 8.96476826899128 6.06462930983214 15.3363123257285
2017-06-15 08:00:00 7.34823579362903 7.90431099174168 6.17113881630653 12.3743442499609
2017-06-15 09:00:00 10.9319857856035 12.8650289863364 6.97597004937401 11.9969658396957
2017-06-15 10:00:00 14.2685619742239 13.9160139938654 9.01536961107915 8.94138681094282
2017-06-15 11:00:00 13.8261893927203 18.740984011891 7.63060361179256 10.214741890258
2017-06-15 12:00:00 16.3803660319798 16.5425268325365 7.47086756448862 8.52590133368842
2017-06-15 13:00:00 15.1164373958174 20.4157679588431 8.77252177180875 7.83004375037892
2017-06-15 14:00:00 17.7520070282053 20.8125534868465 7.83016557483483 9.19233758759004
2017-06-15 15:00:00 15.4638480933858 21.7190878319211 7.6595663953376 7.04960312070197
2017-06-15 16:00:00 19.5588135574532 21.5035356269648 8.83155027214207 10.1945226708385
2017-06-15 17:00:00 14.9205606924415 12.1815843649972 10.0891979783433 5.86194242892701
2017-06-15 18:00:00 12.6613735228614 12.112203988629 8.0183455860349 6.1531059745952
2017-06-15 19:00:00 10.9385846417353 9.25035025520796 6.58190018911596 9.16047209282115
2017-06-15 20:00:00 7.62925898510663 6.65984161492581 6.21342548954857 8.06461701776806
2017-06-15 21:00:00 6.6277823384505 5.90608266061173 6.41261370016094 7.89293170930527
2017-06-15 22:00:00 12.8029493949742 6.9883931613932 5.91718158702677 6.95628233656516
2017-06-15 23:00:00 5.47816538060917 5.8619320097168 9.06701092244542 7.98184599910622
2017-06-16 00:00:00 6.98620167308843 5.97812515111149 6.26463007368267 7.68961813881401
2017-06-16 01:00:00 7.59698011299856 7.9147727906844 5.78204550776574 7.46379784723376
